No,Site name (city/station/...),Ready for generation? AFTER CLOUD COVER ESTIMATION,Science case for,Ground measurement [Y/N],"Protection status [Y/N]
(will NOT include a protection map)","Country Code (ISO alpha2)
(will not be included in  data cube, too political)","Site ID (give a name or write ""none"")","ground measurement: 
ecosystem station,
atmosphere station,
experiement site,
own private data","land cover 
IGBP classification","center_lat","center_lon",Science case potential,remarks,"for flux towers only
->","elevation above mean sea level [m]
mainly for flux towers",measurements available from [year],measurements available to [year],"fluxtower: land cover 
IGBP classification ID"
1,Maasmechelen,yes,Karin,Y,unknown,,BE-Maa,eddy covariance ecosystem,Closed Shrublands,50.979870,5.631851,eddy covariance ecosystem,,,87,2016,2021,CSH
1,Lochristi,yes,Karin,Y,unknown,,BE-Lcr,eddy covariance ecosystem,Deciduous Broadleaf Forests,51.112180,3.850430,eddy covariance ecosystem,,,6.25,2019,2023,DBF
1,Stitna,yes,Karin,Y,unknown,,CZ_Stn,eddy covariance ecosystem,Deciduous Broadleaf Forests,49.035976,17.969900,eddy covariance ecosystem,,,540,2010,2023,DBF
1,Lanzhot,yes,Karin,Y,unknown,,CZ-Lnz,eddy covariance ecosystem,Deciduous Broadleaf Forests,48.681550,16.946331,eddy covariance ecosystem,,,150,2015,2021,DBF
1,Hainich,yes,Karin,Y,unknown,,DE-Hai,eddy covariance ecosystem,Deciduous Broadleaf Forests,51.079407,10.452089,eddy covariance ecosystem,,,438.7,2000,2024,DBF
1,Hohes Holz,yes,Karin,Y,unknown,,DE-HoH,eddy covariance ecosystem,Deciduous Broadleaf Forests,52.086560,11.222350,eddy covariance ecosystem,,,193,2015,2021,DBF
1,Hetzdorf,yes,Karin,Y,unknown,,DE-Hzd,eddy covariance ecosystem,Deciduous Broadleaf Forests,50.963810,13.489780,eddy covariance ecosystem,,,395,2010,2024,DBF
1,Soroe,yes,Karin,Y,unknown,,DK-Sor,eddy covariance ecosystem,Deciduous Broadleaf Forests,55.485870,11.644645,eddy covariance ecosystem,,,40,1996,2021,DBF
1,Fontainebleau-Barbeau,yes,Karin,Y,unknown,,FR-Fon,eddy covariance ecosystem,Deciduous Broadleaf Forests,48.476357,2.780096,eddy covariance ecosystem,,,103,2005,2021,DBF
1,Hesse,yes,Karin,Y,unknown,,FR-Hes,eddy covariance ecosystem,Deciduous Broadleaf Forests,48.674100,7.064650,eddy covariance ecosystem,,,310,2014,2021,DBF
1,Bosco Fontana,yes,Karin,Y,unknown,,IT-BFt,eddy covariance ecosystem,Deciduous Broadleaf Forests,45.197754,10.741966,eddy covariance ecosystem,,,23,2019,2024,DBF
1,Puechabon,yes,Karin,Y,unknown,,FR-Pue,eddy covariance ecosystem,Evergreen Broadleaf Forests,43.741300,3.595700,eddy covariance ecosystem,,,271,2020,2023,EBF
1,Brasschaat,yes,Karin,Y,unknown,,BE-Bra,eddy covariance ecosystem,Evergreen Needleleaf Forests,51.307610,4.519840,eddy covariance ecosystem,,,16,1996,2021,ENF
1,Davos,yes,Karin,Y,unknown,,CH-Dav,eddy covariance ecosystem,Evergreen Needleleaf Forests,46.815330,9.855910,eddy covariance ecosystem,,,1689,1997,2021,ENF
1,Bily Kriz forest,yes,Karin,Y,unknown,,CZ-BK1,eddy covariance ecosystem,Evergreen Needleleaf Forests,49.502075,18.536882,eddy covariance ecosystem,,,875,2004,2023,ENF
1,Rajec,yes,Karin,Y,unknown,,CZ-Raj,eddy covariance ecosystem,Evergreen Needleleaf Forests,49.443720,16.696512,eddy covariance ecosystem,,,625,2012,2023,ENF
1,Mooseurach,yes,Karin,Y,unknown,,DE-Msr,eddy covariance ecosystem,Evergreen Needleleaf Forests,47.809180,11.456168,eddy covariance ecosystem,,,602,2020,2024,ENF
1,Oberbärenburg,yes,Karin,Y,unknown,,DE-Obe,eddy covariance ecosystem,Evergreen Needleleaf Forests,50.786660,13.721290,eddy covariance ecosystem,,,739,2008,2024,ENF
1,Wustebach,yes,Karin,Y,unknown,,DE-RuW,eddy covariance ecosystem,Evergreen Needleleaf Forests,50.504930,6.330963,eddy covariance ecosystem,,,610,2012,2024,ENF
1,Tharandt,yes,Karin,Y,unknown,,DE-Tha,eddy covariance ecosystem,Evergreen Needleleaf Forests,50.962560,13.565150,eddy covariance ecosystem,,,380,1996,2021,ENF
1,Gludsted Plantage,yes,Karin,Y,unknown,,DK-Gds,eddy covariance ecosystem,Evergreen Needleleaf Forests,56.073700,9.334100,eddy covariance ecosystem,,,86,2020,2021,ENF
1,Bilos,yes,Karin,Y,unknown,,FR-Bil,eddy covariance ecosystem,Evergreen Needleleaf Forests,44.493652,-0.956092,eddy covariance ecosystem,,,39,2014,2021,ENF
1,Font-Blanche,yes,Karin,Y,unknown,,FR-FBn,eddy covariance ecosystem,Evergreen Needleleaf Forests,43.240790,5.678650,eddy covariance ecosystem,,,436,2008,2021,ENF
1,Lavarone,yes,Karin,Y,unknown,,IT-Lav,eddy covariance ecosystem,Evergreen Needleleaf Forests,45.956200,11.281320,eddy covariance ecosystem,,,1355,2003,2021,ENF
